Curve ID,Cx,Cy,PCx,PCy,PTx,PTy,TPCx,TPcy,TPTx,TPTy,Posted Speed,Advisory Speed,INCLINATION
71,2422789.3900379627,1739150.1876930494,2422876.5791375637,1739051.0800233528,2422844.318536085,1739270.2173951035,,,,,35.0,20.0,0
76,2422907.0086868126,1741610.4347729937,2423135.696073711,1741392.2689384206,2423222.7407291154,1741624.8406663896,,,,,35.0,35.0,0
17,2446786.661415066,1703993.79633507,2446162.5850122524,1702696.2509445096,2445561.2638807036,1703237.8226054413,,,,,45.0,70.0,0
35,2425014.2337938272,1712699.3168704584,2424756.5915361666,1712676.7722988,2424868.5113796094,1712912.9819556717,,,,,30.0,30.0,0
91,2423841.208722543,1751941.1926868234,2423799.072486921,1751806.552992517,2423820.0040925797,1752080.6691124411,,,,,45.0,20.0,0
19,2443950.0811334276,1705086.047965347,2444238.6024881685,1704250.66974445,2443653.3853796585,1704253.537921093,,,,,45.0,55.0,0
66,2423304.499649389,1737675.7032501528,2423440.1562895915,1737639.312759557,2423245.692352337,1737548.1544608609,,,,,35.0,25.0,0
93,2424687.4203694463,1752775.862598853,2424708.548295572,1752644.244609146,2424820.584024267,1752769.7695280316,,,,,45.0,20.0,0
3,2501383.9213577798,1676910.6821671203,2502573.9150187136,1678358.6330875428,2501253.0111316214,1678780.3102835359,,,,,55.0,75.0,0
55,2424553.410382013,1736987.4410976055,2424172.9140697215,1737125.8628515431,2424379.035402315,1737352.8605717535,,,,,35.0,35.0,0
65,2423563.9082733924,1737612.8298869147,2423618.7280225684,1737726.7675355622,2423478.913744352,1737706.4403709,,,,,35.0,20.0,0
94,2425038.98276878,1752896.2614664366,2424812.987694576,1752815.1178144212,2424859.360831311,1753055.6164958728,,,,,45.0,25.0,0
87,2423225.8257102873,1750392.9298640003,2423326.0897087604,1750206.0205799348,2423424.437926049,1750467.3686818953,,,,,45.0,30.0,0
68,2423138.1893296437,1738570.9012142569,2423217.407302533,1738494.6648107893,2423157.1607945436,1738679.1950735555,,,,,35.0,20.0,0
60,2424380.538855978,1738401.3516346817,2424433.332849038,1738476.668296958,2424292.3510805485,1738375.2226931641,,,,,35.0,15.0,0
77,2423596.6407525046,1742241.568083183,2423309.1565610007,1742150.0649615414,2423363.045463809,1742432.4953539844,,,,,35.0,35.0,0
106,2428611.549745416,1789564.8784186214,2427832.72118216,1789069.7832540714,2427695.5673709605,1789677.4370370812,,,,,55.0,55.0,0
75,2423224.2508278275,1741156.1172386713,2423156.8642780017,1740986.1949288424,2423056.4245590167,1741228.5664068677,,,,,35.0,25.0,0
31,2431885.676113051,1708822.9568702886,2432078.2689003563,1708932.9782721174,2431791.3864944223,1709023.7208072941,,,,,35.0,30.0,0
53,2422438.671491525,1731388.240017561,2421675.744830318,1730871.5132049825,2421517.9153390396,1731423.9022788603,,,,,45.0,60.0,0
9,2487455.498323424,1680561.8356088796,2488464.7146926015,1679135.8760929187,2487524.9812867185,1678816.2553790454,,,,,35.0,70.0,0
89,2424134.1520556724,1750914.411813858,2423478.045091372,1751023.1967449365,2423692.1116387723,1751411.312990814,,,,,45.0,50.0,0
20,2442191.30001145,1703982.1924778318,2442481.6619301396,1704634.227284649,2441573.7532903133,1704340.096767187,,,,,45.0,50.0,0
37,2424796.6844106107,1713404.8408590779,2425101.9270922034,1713449.6585622649,2424818.656779252,1713712.5727817009,,,,,30.0,35.0,0
14,2465142.9689900246,1685356.1426773027,2465454.1850741985,1683671.2307675902,2464410.1679584123,1683807.3411268734,,,,,55.0,75.0,0
33,2429487.3357677623,1708903.2412274624,2430281.9841528754,1709713.3615034956,2429624.7615606557,1710029.6847764475,,,,,35.0,55.0,0
57,2425354.421273381,1738399.0088870332,2425433.8749419847,1738354.2063807957,2425274.9676047866,1738443.8113932728,,,,,35.0,15.0,0
16,2458988.283622993,1686133.5802478483,2461320.7198306937,1686640.586119855,2460711.9612590056,1687784.7159249957,,,,,55.0,80.0,0
97,2425109.810218129,1755397.1290876444,2425477.9923711773,1754348.5919198338,2425965.717912031,1754688.3200092455,,,,,55.0,50.0,0
103,2430633.326977177,1770728.5066706578,2431217.5198302367,1770123.4216757964,2431452.78381369,1770539.0346841686,,,,,55.0,50.0,0
7,2490416.640813492,1678062.7443148007,2490616.3926107557,1678012.5696899304,2490552.1771073067,1678217.8190920867,,,,,35.0,20.0,0
64,2423687.4918993195,1737813.5751780185,2423784.1806137324,1737821.0899031158,2423677.677320349,1737717.092782588,,,,,35.0,20.0,0
99,2427691.644922489,1759565.8607705662,2428007.6532149324,1759203.9640294802,2428170.610451679,1759528.1445412957,,,,,55.0,45.0,0
85,2423250.14493814,1749598.2844795927,2423478.7677058675,1749536.4308077216,2423395.4493367136,1749785.3162373314,,,,,45.0,25.0,0
69,2423012.52095328,1738688.1460500534,2423042.302240101,1738405.9112242297,2423207.7999529243,1738482.2102973298,,,,,35.0,30.0,0
54,2423690.4836899205,1737201.7984471745,2423943.270383999,1736798.5170615176,2424127.7061011014,1737013.7198681666,,,,,35.0,35.0,0
82,2423922.699031262,1744431.9160257105,2423710.798178933,1743732.471747211,2423337.9804844107,1743993.4773288416,,,,,35.0,45.0,0
29,2432979.089228929,1707285.1001915273,2432797.1058393884,1707017.5049029314,2432684.865466116,1707419.850219145,,,,,35.0,35.0,0
46,2421423.682223176,1720313.4516246242,2421945.412209676,1719908.098300709,2422084.135709826,1720331.1910720486,,,,,45.0,50.0,0
59,2424846.0673682005,1738483.9696568362,2425127.798866424,1738298.6145893077,2424857.2803390636,1738146.9186110967,,,,,35.0,30.0,0
80,2423736.2416669833,1743532.1408132096,2423820.880138491,1743384.4293793119,2423819.229820533,1743680.7857086326,,,,,35.0,25.0,0
24,2435118.8577209893,1703236.2766548444,2435584.2146006003,1704443.8266736078,2434919.3814931647,1704514.9256714827,,,,,55.0,70.0,0
41,2422357.766247685,1717137.5371294555,2422607.955770554,1716991.2431624823,2422607.3668522877,1717284.833634191,,,,,45.0,40.0,0
101,2430829.1020267676,1767131.7513874876,2429842.647637435,1767038.0954036417,2429964.807591708,1767616.373750848,,,,,55.0,75.0,0
79,2424005.880600221,1742871.6701692205,2423591.851216804,1742788.4476956397,2423634.7849290003,1743073.2497149126,,,,,35.0,45.0,0
18,2444491.1379313827,1703571.3355837532,2445126.907514073,1703908.7560984723,2444324.0183914956,1704271.4260246397,,,,,45.0,50.0,0
36,2425113.927910962,1712562.1083325716,2424805.785360199,1712353.350911029,2424754.7136342647,1712659.5588125987,,,,,30.0,40.0,0
100,2428576.517177381,1766772.8327588323,2429707.745508531,1766186.3706613397,2429850.1311446717,1766811.8557176492,,,,,55.0,60.0,0
1,2515233.4175194385,1671616.0439819128,2515629.999901534,1671976.642675367,2515242.77446027,1672151.9744355776,,,,,65.0,45.0,0
56,2424265.37015679,1738432.6330592635,2424729.420751029,1737515.7852827332,2425142.8020912954,1737897.7816783614,,,,,35.0,50.0,0
49,2421218.054146244,1722634.0069833854,2421877.547974405,1722411.4070043121,2421897.721717999,1722784.1231116632,,,,,45.0,45.0,0
95,2424393.201556468,1753693.9278103139,2424896.085610287,1753089.3135935226,2425176.9263317613,1753628.918585377,,,,,45.0,45.0,0
4,2499207.3325705645,1677304.1684545146,2499233.506693764,1678673.2880456662,2498568.1163472943,1678515.1912286645,,,,,55.0,70.0,0
45,2422003.254463268,1719377.6985228208,2421783.8619073383,1718784.0515235302,2421425.865268066,1719118.5237350294,,,,,45.0,50.0,0
72,2422751.5632198886,1739409.0451621136,2422743.133432399,1739303.8455066879,2422675.776844966,1739482.4921102773,,,,,35.0,20.0,0
27,2432988.696968637,1705274.336169099,2433677.9359422326,1704910.088725542,2433759.1879353155,1705392.9541825834,,,,,45.0,55.0,0
15,2462793.0032935226,1686638.3251907385,2461887.666733567,1685531.5745974956,2461412.447479362,1686266.0392704748,,,,,55.0,65.0,0
105,2432028.1222149446,1774204.384177771,2431023.876424207,1773705.7238432672,2430920.9096339284,1774381.1666369156,,,,,55.0,65.0,0
83,2423100.6238884246,1747635.2845015726,2423777.271311292,1747568.2323710509,2423730.4771238775,1747891.4731525104,,,,,45.0,50.0,0
32,2431315.991783017,1709260.6979551027,2431455.7001669584,1708939.5652580287,2431053.8199039972,1709028.5115051896,,,,,35.0,35.0,0
70,2423018.0587687497,1738872.0238782428,2423049.4523451137,1738672.9379842936,2422828.371989367,1738940.1390420028,,,,,35.0,25.0,0
11,2479132.0345873623,1678847.4568335235,2479623.4860592373,1679117.5672990514,2479110.4517936413,1679407.830276696,,,,,45.0,25.0,0
78,2423381.558828786,1742794.436191757,2423512.394673155,1742620.2844155452,2423594.867770395,1742750.3209476932,,,,,35.0,25.0,0
23,2435441.620023198,1702951.5909230646,2436613.1671344824,1703818.1325219655,2435942.9181003924,1704319.8442674351,,,,,55.0,70.0,0
43,2422353.1298407777,1718282.4322510539,2422511.802512725,1718189.359705246,2422409.7257699016,1718457.464866342,,,,,45.0,25.0,0
34,2425980.4701393726,1711335.7356496046,2425955.5195445884,1711035.3257267275,2425742.322144543,1711150.9271365355,,,,,30.0,30.0,0
63,2423862.8608084354,1737939.3373113691,2423916.8771031178,1737970.872901802,2423801.320215059,1737928.1565725,,,,,35.0,20.0,0
90,2423760.5058908816,1751662.223956519,2423827.7028146866,1751533.6021038997,2423865.7450173465,1751762.1425924269,,,,,45.0,20.0,0
12,2476878.8209599913,1680261.51069286,2477029.0772007476,1679267.5155917453,2476250.8044250524,1679476.5276161204,,,,,55.0,60.0,0
92,2424149.733773696,1752668.9098769214,2424235.4544997206,1752272.0371653647,2424442.729290154,1752387.823378877,,,,,45.0,40.0,0
47,2421698.2566480907,1721597.6337459146,2422087.5277825897,1721525.1795879165,2422049.915467818,1721779.6164255135,,,,,45.0,40.0,0
86,2423326.2958696065,1750009.133159774,2423260.4121274366,1749871.9011095413,2423233.0910423915,1750129.4916379799,,,,,45.0,25.0,0
67,2423095.739778942,1737790.449788472,2423070.927120052,1737590.172010633,2422898.071603341,1737831.1210152928,,,,,35.0,30.0,0
61,2424072.4844573117,1738054.5092341173,2424604.2710675886,1738231.6203622355,2424446.9189044614,1738471.5993866764,,,,,35.0,35.0,0
62,2424157.896993817,1737996.6118067212,2424302.3538654386,1738026.7511870812,2424079.0932431235,1737871.8474733387,,,,,35.0,20.0,0
104,2430326.9807645883,1771870.5190736894,2431643.281544414,1771578.9802189528,2431569.7345609516,1772393.2098507409,,,,,55.0,65.0,0
81,2423586.210212471,1744215.5107939485,2423332.299704196,1744000.5884116844,2423306.471685747,1744395.5344959383,,,,,35.0,35.0,0
30,2432526.8161321348,1707749.3120635864,2432760.7326752893,1707582.995150861,2432734.168555963,1707947.764166001,,,,,35.0,30.0,0
52,2421094.7049473403,1730483.3340609362,2421782.7046725065,1730371.4720481432,2421702.9185163938,1730823.8233943277,,,,,45.0,50.0,0
2,2509309.6783769415,1674469.1601179512,2509062.099789631,1673139.2211140946,2508446.1727960277,1673427.8191446853,,,,,55.0,65.0,0
88,2423580.313938147,1750660.202273301,2423405.2851089076,1750507.3647656727,2423371.5543657057,1750762.2504762108,,,,,45.0,25.0,0
22,2437854.4559278917,1704569.8794030906,2438043.173341562,1703151.7358086752,2436800.638241717,1703602.297984858,,,,,55.0,70.0,0
74,2423246.102686822,1740805.918683366,2423318.373590512,1740721.9991646302,2423268.9026313615,1740914.2964102023,,,,,35.0,20.0,0
25,2434478.3268036726,1705551.6420928352,2434744.7319922866,1704484.6105302742,2434124.1600015876,1704510.4437657504,,,,,55.0,60.0,0
44,2421573.373846847,1719237.5070455752,2421422.2728833933,1719125.888706555,2421470.871523073,1719394.934579328,,,,,45.0,25.0,0
28,2432690.7042334396,1706094.7072085598,2433466.9244644544,1706323.7509631203,2433124.4934472237,1706777.9390919954,,,,,35.0,50.0,0
48,2422241.8419098496,1722296.8535597473,2421909.9234106555,1722106.4301932668,2421865.402405735,1722365.5867275232,,,,,45.0,35.0,0
38,2424841.404757863,1713286.0598203896,2425034.5944740083,1713058.5889097168,2425114.6730761775,1713406.0169286835,,,,,30.0,30.0,0
102,2431791.637928355,1769703.7017608152,2431085.6694857054,1769822.7779063077,2431189.4055885496,1770090.853900593,,,,,55.0,50.0,0
6,2491883.6750001633,1676905.1581850913,2490839.504964916,1676214.8732472647,2490644.418309415,1676729.0127555856,,,,,35.0,55.0,0
58,2424748.0002106745,1738271.1872178118,2424801.9370398223,1738131.9942580964,2424618.731220276,1738196.5320793812,,,,,35.0,25.0,0
96,2425591.1096168743,1754008.9385014123,2425233.157000363,1754002.1369347374,2425433.6163139,1754330.453969925,,,,,45.0,35.0,0
84,2424558.871848853,1748454.1130786994,2423659.742422014,1748071.3920266149,2423584.6679180665,1748530.5056906394,,,,,45.0,55.0,0
98,2428381.1373057375,1758700.8016200059,2427775.0338883656,1758804.4099239705,2427916.0049343924,1759102.980573115,,,,,55.0,50.0,0
13,2469746.3393760114,1683125.1891779527,2470356.792142954,1684462.56020939,2469489.6215647045,1684572.7076827574,,,,,55.0,60.0,0
40,2422795.030923228,1716594.9387551886,2422492.5904553416,1716420.739441518,2422498.047755181,1716778.2871541362,,,,,45.0,35.0,0
73,2422894.9752839687,1740595.0453385224,2423078.073623711,1740291.9313850638,2423205.223545028,1740424.314300606,,,,,35.0,25.0,0
21,2440521.7445721715,1704021.420775114,2440989.137372204,1703516.890620745,2440611.795018373,1703339.5867606152,,,,,45.0,55.0,0
42,2423184.8054521033,1717862.3450875133,2422525.954717083,1717507.7297749724,2422467.7493251273,1718076.0430558976,,,,,45.0,45.0,0
107,2423587.6518023517,1740442.2748094336,2423207.547470941,1740433.6663271568,2423254.3226163522,1740625.1547221774,,,,,35.0,30.0,0
108,2423253.1988387965,1740067.8553259538,2422983.5021175463,1740162.1171960004,2423054.9785231114,1740273.5986807616,,,,,35.0,40.0,0
109,2423110.534526668,1738178.0254043024,2422876.5997197656,1738134.6385220785,2422982.3753743274,1738378.48274914,,,,,35.0,25.0,0
110,2422401.4462431907,1727479.313838258,2421657.294003662,1727360.2710988303,2421700.183637205,1727755.292980317,,,,,45.0,50.0,0
111,2421438.306432465,1723931.3215358567,2421959.727777088,1723794.7883545721,2421971.8471566783,1724007.8448906413,,,,,45.0,50.0,0
112,2424689.2272561775,1715070.954425314,2424658.306285112,1713728.6508219696,2423776.6719763367,1714086.0798489158,,,,,35.0,60.0,0
